"x","y","objectid","stop_name","stop_lat","stop_lon","town","stop_code"
-8584988.073,4732373.4904,54,"ARDENNES AVE & ST LO AVE",39.074673,-77.12026,"Rockville","20112"
-8584984.6221,4732177.0441,55,"ARDENNES AVE & CORAL SEA AVE",39.073303,-77.120229,"Rockville","20114"
-8584968.8148,4732041.398,56,"ARDENNES AVE & CRAWFORD DR",39.072357,-77.120087,"Rockville","20116"
-8584929.4077,4731808.6817,57,"ARDENNES AVE & LEMAY RD",39.070734,-77.119733,"Rockville","20118"
-8584812.5222,4731626.8713,58,"ARDENNES AVE & WAINWRIGHT AVE",39.069466,-77.118683,"Rockville","20120"
-8584785.0263,4731248.0623,59,"ARDENNES AVE & VANDEGRIFT AVE",39.066824,-77.118436,"Rockville","20122"
-8584754.6361,4730966.1872,60,"ARDENNES AVE & HALPINE RD",39.064858,-77.118163,"Rockville","20124"
-8582706.1348,4718226.9153,61,"ARLINGTON RD & KENWOOD FOREST LA",38.975948,-77.099761,"Bethesda","20126"
-8582582.0136,4718573.8773,62,"ARLINGTON RD & BRADLEY BLVD",38.978371,-77.098646,"Bethesda","20128"
-8582549.1743,4719075.3679,63,"ARLINGTON RD & ELM ST",38.981873,-77.098351,"Bethesda","20132"
-8582563.5345,4719322.2559,64,"ARLINGTON RD & MONTGOMERY LA",38.983597,-77.09848,"Bethesda","20134"
-8582584.4626,4719298.4833,65,"ARLINGTON RD & MONTGOMERY LA",38.983431,-77.098668,"Bethesda","20136"
-8582575.0004,4719121.7663,66,"ARLINGTON RD & ELM ST",38.982197,-77.098583,"Bethesda","20138"
-8582568.6552,4718956.2222,67,"ARLINGTON RD & BETHESDA AVE",38.981041,-77.098526,"Bethesda","20140"
-8582601.3832,4718603.0896,68,"ARLINGTON RD & BRADLEY BLVD",38.978575,-77.09882,"Bethesda","20142"
-8579957.1,4725510.8834,69,"ARMORY AVE & KNOWLES AVE",39.026798,-77.075066,"Chevy Chase","20144"
-8593330.133,4748405.6165,70,"ARROWHEAD RD & QUILL PL",39.18639,-77.195198,"Montgomery Village","20146"
-8593488.0954,4748563.3131,71,"ARROWHEAD RD & MONTGOMERY VILLAGE AVE",39.187488,-77.196617,"Montgomery Village","20148"
-8593393.8078,4748443.9633,72,"ARROWHEAD RD & BRIAR GLEN WAY",39.186657,-77.19577,"Montgomery Village","20150"
